Field,Type,English,Arabic,Chinese,Czech,Danish,Dutch,Finnish,French,German,Greek,Hebrew,Hindi,Hungarian,Indonesian,Italian,Japanese,Korean,Norwegian,Polish,Portuguese,Romanian,Russian,Kiswahili,Swedish,Thai,Turkish,Ukrainian,Vietnamese
ProductName,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WhatsNew,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProductFeatures1,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProductFeatures2,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProductFeatures3,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProductFeatures4,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProductFeatures5,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProductFeatures6,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProductFeatures7,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProductFeatures8,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProductFeatures9,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProductFeatures10,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProductFeatures11,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProductFeatures12,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProductFeatures13,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProductFeatures14,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProductFeatures15,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProductFeatures16,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProductFeatures17,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProductFeatures18,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProductFeatures19,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProductFeatures20,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShortDescription,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SearchTerms1,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SearchTerms2,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SearchTerms3,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SearchTerms4,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SearchTerms5,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SearchTerms6,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SearchTerms7,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applicable license terms,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copyright,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DevelopedBy,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RequirementsMinimum1,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RequirementsMinimum2,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RequirementsMinimum3,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RequirementsMinimum4,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RequirementsMinimum5,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RequirementsMinimum6,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RequirementsMinimum7,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RequirementsMinimum8,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RequirementsMinimum9,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RequirementsMinimum10,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RequirementsMinimum11,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RequirementsRecommended1,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RequirementsRecommended2,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RequirementsRecommended3,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RequirementsRecommended4,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RequirementsRecommended5,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RequirementsRecommended6,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RequirementsRecommended7,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RequirementsRecommended8,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RequirementsRecommended9,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RequirementsRecommended10,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RequirementsRecommended11,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StoreLogos1,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StoreLogos2,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screenshots1,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screenshots2,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
